Dataset,Accuracy,Precision,Recall,F1
Telco Customer Churn (Dataset 1),0.7686302342086586,0.5446096654275093,0.7834224598930482,0.6425438596491229
High-Value Customer Churn (Dataset 2),0.9410098316947175,0.6378600823045267,0.6352459016393442,0.6365503080082136
